index,state,area,Area_ID,Population
0,Maharashtra,Amravati,1,63463000
0,Maharashtra,Amravati,1,62979000
0,Maharashtra,Amravati,1,63256000
1,Bihar,Purnia,2,16415000
1,Bihar,Purnia,2,16221000
1,Bihar,Purnia,2,16332000
2,Madhya Pradesh,Katni,3,26126000
2,Madhya Pradesh,Katni,3,25894000
2,Madhya Pradesh,Katni,3,26027000
3,Chhattisgarh,Tumidih,4,8682000
3,Chhattisgarh,Tumidih,4,8568000
3,Chhattisgarh,Tumidih,4,8633000
4,Assam,Byrnihat,5,5807000
4,Assam,Byrnihat,5,5750000
4,Assam,Byrnihat,5,5783000
5,Manipur,Imphal,6,1093000
5,Manipur,Imphal,6,1082000
5,Manipur,Imphal,6,1088000
6,Kerala,Kollam,7,29122000
6,Kerala,Kollam,7,28642000
6,Kerala,Kollam,7,28916000
7,West Bengal,Barrackpore,8,37995000
7,West Bengal,Barrackpore,8,37642000
7,West Bengal,Barrackpore,8,37844000
8,Odisha,Nayagarh,9,9077000
8,Odisha,Nayagarh,9,8994000
8,Odisha,Nayagarh,9,9042000
9,Assam,Nalbari,10,5807000
9,Assam,Nalbari,10,5750000
9,Assam,Nalbari,10,5783000
10,Karnataka,Hubballi,11,31402000
10,Karnataka,Hubballi,11,31096000
10,Karnataka,Hubballi,11,31271000
11,Gujarat,Ahmedabad,12,36863000
11,Gujarat,Ahmedabad,12,36403000
11,Gujarat,Ahmedabad,12,36666000
12,Uttarakhand,Dehradun,13,4431000
12,Uttarakhand,Dehradun,13,4373000
12,Uttarakhand,Dehradun,13,4406000
13,Tamil Nadu,Vellore,14,42472000
13,Tamil Nadu,Vellore,14,42196000
13,Tamil Nadu,Vellore,14,42354000
14,Maharashtra,Ulhasnagar,15,63463000
14,Maharashtra,Ulhasnagar,15,62979000
14,Maharashtra,Ulhasnagar,15,63256000
15,Tamil Nadu,Chengalpattu,16,42472000
15,Tamil Nadu,Chengalpattu,16,42196000
15,Tamil Nadu,Chengalpattu,16,42354000
16,Andhra Pradesh,Tirupati,17,20407000
16,Andhra Pradesh,Tirupati,17,20174000
16,Andhra Pradesh,Tirupati,17,20307000
17,Tamil Nadu,Dindigul,18,42472000
17,Tamil Nadu,Dindigul,18,42196000
17,Tamil Nadu,Dindigul,18,42354000
18,Andhra Pradesh,Kadapa,19,20407000
18,Andhra Pradesh,Kadapa,19,20174000
18,Andhra Pradesh,Kadapa,19,20307000
19,Maharashtra,Thane,20,63463000
19,Maharashtra,Thane,20,62979000
19,Maharashtra,Thane,20,63256000
20,Uttarakhand,Rishikesh,21,4431000
20,Uttarakhand,Rishikesh,21,4373000
20,Uttarakhand,Rishikesh,21,4406000
21,Chhattisgarh,Raipur,22,8682000
21,Chhattisgarh,Raipur,22,8568000
21,Chhattisgarh,Raipur,22,8633000
22,Tamil Nadu,Ranipet,23,42472000
22,Tamil Nadu,Ranipet,23,42196000
22,Tamil Nadu,Ranipet,23,42354000
23,Bihar,Samastipur,24,16415000
23,Bihar,Samastipur,24,16221000
23,Bihar,Samastipur,24,16332000
24,Madhya Pradesh,Jabalpur,25,26126000
24,Madhya Pradesh,Jabalpur,25,25894000
24,Madhya Pradesh,Jabalpur,25,26027000
25,Bihar,Kishanganj,26,16415000
25,Bihar,Kishanganj,26,16221000
25,Bihar,Kishanganj,26,16332000
26,Bihar,Saharsa,27,16415000
26,Bihar,Saharsa,27,16221000
26,Bihar,Saharsa,27,16332000
27,Karnataka,Yadgir,28,31402000
27,Karnataka,Yadgir,28,31096000
27,Karnataka,Yadgir,28,31271000
28,Rajasthan,Dungarpur,29,22468000
28,Rajasthan,Dungarpur,29,22262000
28,Rajasthan,Dungarpur,29,22380000
29,Uttar Pradesh,Meerut,30,59007000
29,Uttar Pradesh,Meerut,30,58465000
29,Uttar Pradesh,Meerut,30,58775000
30,Rajasthan,Sawai Madhopur,31,22468000
30,Rajasthan,Sawai Madhopur,31,22262000
30,Rajasthan,Sawai Madhopur,31,22380000
31,Uttar Pradesh,Ghaziabad,32,59007000
31,Uttar Pradesh,Ghaziabad,32,58465000
31,Uttar Pradesh,Ghaziabad,32,58775000
32,Madhya Pradesh,Pithampur,33,26126000
32,Madhya Pradesh,Pithampur,33,25894000
32,Madhya Pradesh,Pithampur,33,26027000
33,Uttar Pradesh,Kanpur,34,59007000
33,Uttar Pradesh,Kanpur,34,58465000
33,Uttar Pradesh,Kanpur,34,58775000
34,Tamil Nadu,Chennai,35,42472000
34,Tamil Nadu,Chennai,35,42196000
34,Tamil Nadu,Chennai,35,42354000
35,Rajasthan,Nagaur,36,22468000
35,Rajasthan,Nagaur,36,22262000
35,Rajasthan,Nagaur,36,22380000
36,Andhra Pradesh,Chittoor,37,20407000
36,Andhra Pradesh,Chittoor,37,20174000
36,Andhra Pradesh,Chittoor,37,20307000
37,Maharashtra,Kalyan,38,63463000
37,Maharashtra,Kalyan,38,62979000
37,Maharashtra,Kalyan,38,63256000
38,Maharashtra,Mira Bhayandar,39,63463000
38,Maharashtra,Mira Bhayandar,39,62979000
38,Maharashtra,Mira Bhayandar,39,63256000
39,Odisha,Bhubaneswar,40,9077000
39,Odisha,Bhubaneswar,40,8994000
39,Odisha,Bhubaneswar,40,9042000
40,Rajasthan,Churu,41,22468000
40,Rajasthan,Churu,41,22262000
40,Rajasthan,Churu,41,22380000
41,Rajasthan,Jodhpur,42,22468000
41,Rajasthan,Jodhpur,42,22262000
41,Rajasthan,Jodhpur,42,22380000
42,Bihar,Katihar,43,16415000
42,Bihar,Katihar,43,16221000
42,Bihar,Katihar,43,16332000
43,Rajasthan,Pali,44,22468000
43,Rajasthan,Pali,44,22262000
43,Rajasthan,Pali,44,22380000
44,Odisha,Balasore,45,9077000
44,Odisha,Balasore,45,8994000
44,Odisha,Balasore,45,9042000
45,Rajasthan,Sikar,46,22468000
45,Rajasthan,Sikar,46,22262000
45,Rajasthan,Sikar,46,22380000
46,Punjab,Jalandhar,47,13359000
46,Punjab,Jalandhar,47,13243000
46,Punjab,Jalandhar,47,13309000
47,Andhra Pradesh,Tirumala,48,20407000
47,Andhra Pradesh,Tirumala,48,20174000
47,Andhra Pradesh,Tirumala,48,20307000
48,Odisha,Angul,49,9077000
48,Odisha,Angul,49,8994000
48,Odisha,Angul,49,9042000
49,Punjab,Patiala,50,13359000
49,Punjab,Patiala,50,13243000
49,Punjab,Patiala,50,13309000
50,Maharashtra,Pimpri Chinchwad,51,63463000
50,Maharashtra,Pimpri Chinchwad,51,62979000
50,Maharashtra,Pimpri Chinchwad,51,63256000
51,Gujarat,Vatva,52,36863000
51,Gujarat,Vatva,52,36403000
51,Gujarat,Vatva,52,36666000
52,Karnataka,Chamarajanagar,53,31402000
52,Karnataka,Chamarajanagar,53,31096000
52,Karnataka,Chamarajanagar,53,31271000
53,Rajasthan,Jaisalmer,54,22468000
53,Rajasthan,Jaisalmer,54,22262000
53,Rajasthan,Jaisalmer,54,22380000
54,Odisha,Keonjhar,55,9077000
54,Odisha,Keonjhar,55,8994000
54,Odisha,Keonjhar,55,9042000
55,Rajasthan,Chittorgarh,56,22468000
55,Rajasthan,Chittorgarh,56,22262000
55,Rajasthan,Chittorgarh,56,22380000
56,Karnataka,Chikkaballapur,57,31402000
56,Karnataka,Chikkaballapur,57,31096000
56,Karnataka,Chikkaballapur,57,31271000
57,Rajasthan,Bhilwara,58,22468000
57,Rajasthan,Bhilwara,58,22262000
57,Rajasthan,Bhilwara,58,22380000
58,Bihar,Arrah,59,16415000
58,Bihar,Arrah,59,16221000
58,Bihar,Arrah,59,16332000
59,Uttar Pradesh,Agra,60,59007000
59,Uttar Pradesh,Agra,60,58465000
59,Uttar Pradesh,Agra,60,58775000
60,Rajasthan,Kota,61,22468000
60,Rajasthan,Kota,61,22262000
60,Rajasthan,Kota,61,22380000
61,Karnataka,Chikkamagaluru,62,31402000
61,Karnataka,Chikkamagaluru,62,31096000
61,Karnataka,Chikkamagaluru,62,31271000
62,Rajasthan,Bharatpur,63,22468000
62,Rajasthan,Bharatpur,63,22262000
62,Rajasthan,Bharatpur,63,22380000
63,Mizoram,Aizawl,64,705000
63,Mizoram,Aizawl,64,700000
