Date,Year,Month,Day,Day_of_Week,Is_Weekend
2022-04-01,2022,April,1,Friday,False
2022-04-02,2022,April,2,Saturday,True
2022-04-03,2022,April,3,Sunday,True
2022-04-04,2022,April,4,Monday,False
2022-04-05,2022,April,5,Tuesday,False
2022-04-06,2022,April,6,Wednesday,False
2022-04-07,2022,April,7,Thursday,False
2022-04-08,2022,April,8,Friday,False
2022-04-09,2022,April,9,Saturday,True
2022-04-10,2022,April,10,Sunday,True
2022-04-11,2022,April,11,Monday,False
2022-04-12,2022,April,12,Tuesday,False
2022-04-13,2022,April,13,Wednesday,False
2022-04-14,2022,April,14,Thursday,False
2022-04-15,2022,April,15,Friday,False
2022-04-16,2022,April,16,Saturday,True
2022-04-17,2022,April,17,Sunday,True
2022-04-18,2022,April,18,Monday,False
2022-04-19,2022,April,19,Tuesday,False
2022-04-20,2022,April,20,Wednesday,False
2022-04-21,2022,April,21,Thursday,False
2022-04-22,2022,April,22,Friday,False
2022-04-23,2022,April,23,Saturday,True
2022-04-24,2022,April,24,Sunday,True
2022-04-25,2022,April,25,Monday,False
2022-04-26,2022,April,26,Tuesday,False
2022-04-27,2022,April,27,Wednesday,False
2022-04-28,2022,April,28,Thursday,False
2022-04-29,2022,April,29,Friday,False
2022-04-30,2022,April,30,Saturday,True
2022-05-01,2022,May,1,Sunday,True
2022-05-02,2022,May,2,Monday,False
2022-05-03,2022,May,3,Tuesday,False
2022-05-04,2022,May,4,Wednesday,False
2022-05-05,2022,May,5,Thursday,False
2022-05-06,2022,May,6,Friday,False
2022-05-07,2022,May,7,Saturday,True
2022-05-08,2022,May,8,Sunday,True
2022-05-09,2022,May,9,Monday,False
2022-05-10,2022,May,10,Tuesday,False
2022-05-11,2022,May,11,Wednesday,False
2022-05-12,2022,May,12,Thursday,False
2022-05-13,2022,May,13,Friday,False
2022-05-14,2022,May,14,Saturday,True
2022-05-15,2022,May,15,Sunday,True
2022-05-16,2022,May,16,Monday,False
2022-05-17,2022,May,17,Tuesday,False
2022-05-18,2022,May,18,Wednesday,False
2022-05-19,2022,May,19,Thursday,False
2022-05-20,2022,May,20,Friday,False
2022-05-21,2022,May,21,Saturday,True
2022-05-22,2022,May,22,Sunday,True
2022-05-23,2022,May,23,Monday,False
2022-05-24,2022,May,24,Tuesday,False
2022-05-25,2022,May,25,Wednesday,False
2022-05-26,2022,May,26,Thursday,False
2022-05-27,2022,May,27,Friday,False
2022-05-28,2022,May,28,Saturday,True
2022-05-29,2022,May,29,Sunday,True
2022-05-30,2022,May,30,Monday,False
2022-05-31,2022,May,31,Tuesday,False
2022-06-01,2022,June,1,Wednesday,False
2022-06-02,2022,June,2,Thursday,False
2022-06-03,2022,June,3,Friday,False
2022-06-04,2022,June,4,Saturday,True
2022-06-05,2022,June,5,Sunday,True
2022-06-06,2022,June,6,Monday,False
2022-06-07,2022,June,7,Tuesday,False
2022-06-08,2022,June,8,Wednesday,False
2022-06-09,2022,June,9,Thursday,False
2022-06-10,2022,June,10,Friday,False
2022-06-11,2022,June,11,Saturday,True
2022-06-12,2022,June,12,Sunday,True
