Index,State/Union Territory,Per Capita Income (in INR)
1,Sikkim,587743
2,Goa,492648
3,Delhi,461910
4,Chandigarh,399654
5,Telangana,356564
6,Karnataka,332926
7,Haryana,325759
8,Tamil Nadu,315220
9,Gujarat,297722
10,Kerala,281001
11,Maharashtra,277603
12,Puducherry,262166
13,Uttarakhand,260201
14,Andaman and Nicobar Islands,258151
15,Andhra Pradesh,242479
16,Himachal Pradesh,235199
17,Mizoram,215144
18,Arunachal Pradesh,199992
19,Punjab,196505
20,Tripura,177723
21,Rajasthan,167964
22,Odisha,163101
23,West Bengal,154119
24,Chhattisgarh,147361
25,Nagaland,145537
26,Madhya Pradesh,142565
27,Jammu and Kashmir,142138
28,Meghalaya,136948
29,Assam,135787
30,Manipur,125937
31,Jharkhand,115960
32,Uttar Pradesh,104126
33,Bihar,68828
