state,year,non_ev_vehicles,ev_vehicles,total_vehicles,ev_adoption_rate
Andaman and Nicobar Islands,2022,5500,21,5521,0.38036587574714725
Andaman and Nicobar Islands,2023,8045,26,8071,0.3221409986370958
Andaman and Nicobar Islands,2024,8379,82,8461,0.9691525824370643
Andaman and Nicobar Islands,2025,2706,36,2742,1.312910284463895
Andhra Pradesh,2022,601064,21654,622718,3.4773364508493407
Andhra Pradesh,2023,808346,31811,840157,3.7863161290092204
Andhra Pradesh,2024,855720,57489,913209,6.295273042644127
Andhra Pradesh,2025,257487,17643,275130,6.412604950387089
Arunachal Pradesh,2022,20868,2,20870,0.009583133684714902
Arunachal Pradesh,2023,30365,20,30385,0.06582195162086556
Arunachal Pradesh,2024,36666,100,36766,0.271990425937007
Arunachal Pradesh,2025,11642,73,11715,0.6231327358087921
Assam,2022,364501,32482,396983,8.18221435174806
Assam,2023,592801,60798,653599,9.302033815841211
Assam,2024,561258,68422,629680,10.866154237072799
Assam,2025,187309,21726,209035,10.393474776951228
Bihar,2022,838508,45218,883726,5.116744330256211
Bihar,2023,1199474,88199,1287673,6.849487408682172
Bihar,2024,1281595,113132,1394727,8.111408182389814
Bihar,2025,408961,34398,443359,7.758498192209924
Chandigarh,2022,37960,2372,40332,5.881186154914212
Chandigarh,2023,46813,6411,53224,12.045317901698482
Chandigarh,2024,39105,7063,46168,15.29847513429215
Chandigarh,2025,12798,2040,14838,13.7484836231298
Chhattisgarh,2022,361323,19299,380622,5.070384791210177
Chhattisgarh,2023,474703,34518,509221,6.778589256923811
Chhattisgarh,2024,663056,49271,712327,6.916907543866792
Chhattisgarh,2025,221215,14577,235792,6.182143584175884
Dadra and Nagar Haveli and Daman and Diu,2022,13991,121,14112,0.8574263038548753
Dadra and Nagar Haveli and Daman and Diu,2023,22286,160,22446,0.7128218836318274
Dadra and Nagar Haveli and Daman and Diu,2024,23770,492,24262,2.027862501030418
Dadra and Nagar Haveli and Daman and Diu,2025,8666,210,8876,2.365930599369085
Delhi,2022,427161,48311,475472,10.160640374196587
Delhi,2023,583031,73613,656644,11.210488483866449
Delhi,2024,625717,85281,710998,11.994548507872034
Delhi,2025,204529,38731,243260,15.921647619830633
Goa,2022,50880,4808,55688,8.63381698031892
Goa,2023,71830,9483,81313,11.662341814961938
Goa,2024,72549,11750,84299,13.93848088352175
Goa,2025,24769,3333,28102,11.860365810262614
Gujarat,2022,1195809,58899,1254708,4.694239615910634
Gujarat,2023,1732340,88615,1820955,4.866402519557045
Gujarat,2024,1818695,80343,1899038,4.2307210282258705
Gujarat,2025,546768,23329,570097,4.092110640820772
Haryana,2022,553647,21521,575168,3.741689384666741
Haryana,2023,806580,30492,837072,3.6426974023739893
Haryana,2024,948877,47800,996677,4.795936898313094
Haryana,2025,318505,15243,333748,4.567218380334864
Himachal Pradesh,2022,93941,854,94795,0.900891397225592
Himachal Pradesh,2023,126301,1126,127427,0.8836431839406091
Himachal Pradesh,2024,145655,2104,147759,1.4239403352756854
Himachal Pradesh,2025,47498,875,48373,1.8088603146383313
Jammu and Kashmir,2022,125142,4166,129308,3.221765088006929
Jammu and Kashmir,2023,161723,9733,171456,5.676675065322882
Jammu and Kashmir,2024,165946,13359,179305,7.450433618694404
Jammu and Kashmir,2025,51895,3527,55422,6.363898812745841
Jharkhand,2022,366740,11507,378247,3.0421920068103647
Jharkhand,2023,523286,21115,544401,3.8785748005606164
Jharkhand,2024,552691,26270,578961,4.53743861849071
Jharkhand,2025,194426,8803,203229,4.331566853155799
Karnataka,2022,1107335,76921,1184256,6.495301691526157
Karnataka,2023,1590347,152086,1742433,8.728370043496652
Karnataka,2024,1700941,185085,1886026,9.813491436491331
Karnataka,2025,534491,66098,600589,11.00552957180368
Kerala,2022,552839,32353,585192,5.528612831344243
Kerala,2023,679050,75460,754510,10.001192827132842
Kerala,2024,687698,86351,774049,11.155753705514767
Kerala,2025,211130,32434,243564,13.316417861424512
Ladakh,2022,5448,34,5482,0.6202116016052536
Ladakh,2023,5026,28,5054,0.554016620498615
Ladakh,2024,5412,20,5432,0.3681885125184094
Ladakh,2025,882,1,883,0.11325028312570783
Lakshadweep,2022,233,1,234,0.4273504273504274
Lakshadweep,2024,293,5,298,1.6778523489932886
Lakshadweep,2025,313,5,318,1.5723270440251573
Madhya Pradesh,2022,1036206,31156,1067362,2.918972195000384
Madhya Pradesh,2023,1415338,67367,1482705,4.54352012032063
Madhya Pradesh,2024,1561860,101014,1662874,6.074663504270317
Madhya Pradesh,2025,487384,39164,526548,7.43787840804637
Maharashtra,2022,1698413,109867,1808280,6.075773663370717
Maharashtra,2023,2369412,194340,2563752,7.580296378120817
Maharashtra,2024,2636675,250860,2887535,8.68768690249642
Maharashtra,2025,932617,95731,1028348,9.309202721257783
Manipur,2022,39897,314,40211,0.7808808534977991
Manipur,2023,26191,399,26590,1.5005641218503196
Manipur,2024,27588,445,28033,1.5874148325188173
Manipur,2025,9778,236,10014,2.3567006191332136
Meghalaya,2022,27209,36,27245,0.13213433657551843
Meghalaya,2023,40273,114,40387,0.2822690469705598
Meghalaya,2024,41544,833,42377,1.9656889350355145
Meghalaya,2025,13562,192,13754,1.3959575396248365
Mizoram,2022,20288,36,20324,0.17713048612477858
Mizoram,2023,28576,166,28742,0.5775520144735926
Mizoram,2024,29448,574,30022,1.9119312504163612
Mizoram,2025,9721,319,10040,3.1772908366533863
Nagaland,2022,19349,3,19352,0.015502273666804465
Nagaland,2023,27217,6,27223,0.022040186606913273
Nagaland,2024,27762,45,27807,0.16182975509763728
Nagaland,2025,9496,30,9526,0.31492756665966826
Odisha,2022,444941,22987,467928,4.912507907199398
Odisha,2023,650004,41233,691237,5.965103141180232
Odisha,2024,745097,65976,811073,8.134409603081352
Odisha,2025,267084,23017,290101,7.934133284614668
Puducherry,2022,35578,1078,36656,2.9408555216062853
Puducherry,2023,52738,2637,55375,4.762076749435666
Puducherry,2024,60845,4742,65587,7.230091329074359
Puducherry,2025,23127,1675,24802,6.75348762196597
Punjab,2022,414843,11550,426393,2.7087686711554833
